season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2025,ARI,REG,8,183,273,1822,12,4,29,-202,1,1,1901,900,94,19.2457550411421,1.5579962845032,0,204,892,6,4,2,52,-11.4803026539358,0,183,260,1822,12,0,0,1901,900,94,78.6206717316944,0,0,298,12,240,39,172,9,17,120,44,5,31,46,0,1,1,0,2,4,5,5,1,56,403,27,11,128,31,795,15,17,1,1,57,0.882352941176471,0,2,5,6,2,0,0,0,0,0,1,0,42;50;29;47;34;28;33;57;40;44;32;40;39;48;34,57,46,597,57,46,19,19,0,0,1,0,0,0,0,
2025,ATL,REG,8,167,270,1832,8,3,11,-79,2,1,2178,852,89,-6.46265819189101,-2.92906984972314,0,212,934,7,4,2,52,-9.58011204141195,0,167,261,1832,8,1,1,2178,852,89,17.7204869689257,0,0,276,9,233,37,157,6,22,133,41,7,39,33,0,0,0,0,4,5,4,4,0,46,346,30,12,96,35,752,13,17,3,1,54,0.764705882352941,0,2,8,2,1,0,0,0,0,2,1,0,41;36;38;29;33;33;54;38;26;33;38;45;38,44;49;55,37,482,148,37,14,15,1,0,0.933333333333333,0,0,0,0,
2025,BAL,REG,8,147,208,1630,15,5,24,-166,2,1,1685,656,74,13.0990237517701,7.44241973993802,0,208,1084,8,5,3,61,3.12016027616396,0,147,202,1630,15,3,1,1685,656,74,55.7538215857893,0,0,318,14,234,34,114,6,11,78,37,3,79,20,0,0,0,5,4,5,4,4,1,49,375,30,8,128,39,993,12,13,1,0,52,0.923076923076923,0,2,4,5,1,0,0,0,0,0,1,0,52;49;43;32;41;43;32;27;37;42;28;32,55,,458,55,0,22,23,1,0,0.956521739130435,0,0,0,0,
2025,BUF,REG,8,160,229,1887,13,4,17,-95,0,0,1694,976,97,51.577215227666,3.54191770468058,0,256,1292,16,5,1,75,34.4396263209824,0,160,223,1887,13,2,1,1694,976,97,74.6528616613061,0,0,310,7,173,47,221,10,25,153,52,4,52,22,0,1,0,0,4,7,5,5,0,55,451,41,16,92,32,820,12,14,2,0,52,0.857142857142857,0,2,4,5,1,0,0,0,1,0,1,0,25;43;32;28;52;33;48;35;31;45;45;43,39;52,,460,91,0,25,26,1,0,0.961538461538461,1,1,0,0,32
2025,CAR,REG,9,174,281,1683,12,7,20,-145,4,3,1927,774,95,-31.5508803309326,-0.464929166165265,0,269,1258,6,2,2,72,8.86819692260078,0,174,264,1683,12,2,0,1927,775,95,30.4269633619404,0,0,312,12,246,33,137,2,14,97,33,7,111,36,1,1,0,0,5,6,2,2,0,51,409,32,13,79,31,740,14,16,2,0,57,0.875,0,2,5,5,2,0,0,0,1,0,1,0,48;27;57;35;41;35;49;31;55;33;30;29;48;49,55;32,,567,87,0,14,17,3,0,0.823529411764706,2,2,0,0,33;49
2025,CHI,REG,8,162,263,1965,13,4,14,-93,0,0,2167,1017,92,35.1451229259978,-2.96202828799646,0,235,1155,9,6,1,68,6.94838383758013,0,162,254,1965,13,0,0,2167,1017,92,65.1920010852287,0,0,294,21,221,35,141,6,17,85,35,13,210,35,1,0,0,0,6,9,6,6,0,71,576,28,12,129,38,961,19,23,2,2,52,0.826086956521739,0,3,7,7,2,0,0,0,0,0,2,0,42;30;46;43;52;51;47;48;41;38;27;39;24;33;32;39;47;24;36,50;58,48;47,739,108,95,20,20,0,0,1,1,1,0,0,38
2025,CIN,REG,9,213,333,2200,19,10,22,-135,2,1,2446,1021,106,0.96795625296656,0.258147448583356,2,169,709,5,2,1,46,5.66935372910679,0,213,317,2200,19,4,2,2446,1021,106,37.3643430071816,2,1,349,14,332,27,96,2,13,67,36,8,38,40,0,0,0,0,4,4,1,1,0,47,318,36,8,90,46,1204,13,16,3,0,50,0.8125,0,3,4,5,1,0,0,0,0,0,2,1,35;31;45;26;50;45;49;23;45;36;26;41;33,67;56;54,,485,177,0,23,23,0,0,1,1,1,0,0,36
2025,CLE,REG,8,178,302,1517,7,8,20,-125,2,2,1989,798,70,-90.1822172871228,-5.24836628055069,0,190,716,6,0,0,49,-3.07141410130134,0,178,284,1517,7,1,0,1989,798,70,-37.883303543489,0,0,260,26,244,57,228,9,24,166,44,6,104,28,1,1,0,0,2,2,4,4,0,53,419,29,14,110,33,775,10,13,3,0,55,0.769230769230769,0,0,7,1,2,0,0,0,1,1,1,0,45;38;35;55;33;31;31;53;32;30,36;56;47,,383,139,0,12,13,1,0,0.923076923076923,1,1,0,0,55
2025,DAL,REG,9,234,338,2418,18,7,15,-98,0,0,2569,1041,119,65.1950311113707,3.73648320183609,1,227,1086,10,6,2,68,6.26105464284211,0,234,330,2418,18,4,2,2569,1039,119,84.0555842181944,1,1,357,8,282,46,220,5,19,142,53,4,96,19,1,1,0,0,7,10,3,3,0,73,610,51,9,67,41,1005,17,18,1,0,64,0.944444444444444,0,6,2,4,3,2,0,0,0,0,0,1,41;53;51;44;64;46;53;33;22;35;23;28;47;61;29;24;26,68,,680,68,0,28,29,1,0,0.96551724137931,1,1,0,0,46
2025,DEN,REG,9,197,322,1976,17,6,9,-52,1,1,2513,1075,102,30.9788942754403,-2.71614793884127,4,243,1202,10,2,0,62,7.90700238292775,0,197,304,1976,17,1,1,2513,1075,102,51.2340215293002,4,0,322,11,295,42,228,5,40,242,88,4,57,57,0,2,0,0,2,2,3,3,0,72,658,41,23,265,35,881,11,13,1,1,57,0.846153846153846,0,2,5,2,2,0,0,0,0,1,0,0,39;33;42;26;55;36;57;27;39;42;34,42,51,430,42,51,22,22,0,0,1,2,2,0,0,39;34
