season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2017,1,DET,REG,ARI,29,41,292,4,1,1,-7,0,0,317,88,15,-2.88440828051916,5.45587081175584,0,27,82,0,1,0,5,-9.06196385693317,0,29,39,292,4,0,0,317,88,15,2.42664679159844,0,0,40,1,9,3,11,2,1,5,7,3,83,11,1,0,0,0,1,1,1,1,0,10,100,4,3,48,3,49,1,1,0,0,58.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,58,,,58,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,GB,REG,SEA,28,42,311,1,1,4,-25,0,0,289,170,16,2.1717179210377,0.213025794142771,0,28,84,1,0,0,9,-4.39762823085766,0,28,42,311,1,0,0,289,170,16,8.24202774418379,0,0,28,10,12,4,12,1,3,23,8,0,0,5,0,0,0,0,1,2,1,1,0,8,70,5,2,0,0,0,1,1,0,0,40.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,HOU,REG,JAX,19,36,164,1,1,10,-54,3,3,308,65,11,-38.5454115257307,-12.1723456101285,0,23,93,0,0,0,4,-0.287440780957695,0,19,36,164,1,0,0,308,65,11,-8.82734224936576,0,0,29,8,32,3,3,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,9,94,5,1,21,1,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2017,1,IND,REG,LA,11,21,179,0,2,4,-29,1,0,222,76,6,-20.478801420732,-7.65743241423652,0,24,75,1,1,0,3,-3.30826124234591,0,11,21,179,0,1,1,222,76,6,-19.5891383945877,0,0,51,0,8,3,17,1,1,8,4,0,0,0,0,0,0,0,2,2,1,1,0,4,20,1,3,0,0,0,1,2,1,0,20.0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,20,38,,20,38,0,0,1,1,0,0.0,0,0,0,0,0
2017,1,JAX,REG,HOU,11,21,125,1,0,0,0,0,0,173,58,8,1.9233279938493,-7.06003663085756,0,39,155,1,1,0,7,-1.60508107288599,0,11,21,125,1,0,0,173,58,8,1.9233279938493,0,0,40,3,23,6,29,3,10,54,12,1,67,9,0,0,0,0,0,0,3,3,1,10,89,3,1,7,0,0,3,4,1,0,42.0,0.75,0,1,1,1,0,0,0,0,1,0,0,0,42;25;38,39,,105,39,0,2,3,1,0,0.666666666666667,0,0,0,0,0
2017,1,KC,REG,NE,28,35,368,4,0,3,-16,0,0,260,201,17,17.5607251510373,16.7785658555872,0,27,185,2,1,1,8,1.42356238357024,0,28,34,368,4,0,0,260,201,17,23.264724446286,0,0,36,12,20,5,30,1,3,20,6,0,0,2,0,1,0,0,1,1,0,0,0,15,139,3,4,10,4,86,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,6,6,0,0,1.0,0,0,0,0,0
2017,1,LA,REG,IND,22,30,318,1,0,1,-8,0,0,250,139,13,10.5291011859948,8.38815301656723,0,33,63,2,1,0,6,-6.12581351692447,0,22,30,318,1,0,0,250,139,13,12.7381286109151,0,0,36,5,7,9,48,2,4,29,5,2,68,6,2,1,1,0,0,0,1,1,0,7,50,3,3,15,2,48,3,3,0,0,50.0,1.0,0,0,1,1,1,0,0,0,0,0,0,0,50;35;44,,,129,0,0,5,5,0,0,1.0,0,0,0,0,0
2017,1,LAC,REG,DEN,22,33,192,3,1,1,-7,0,0,198,97,12,2.61878241105674,1.79970490209984,0,22,64,0,0,0,3,-6.52075673924992,0,22,33,192,3,0,0,198,97,12,4.19120092243625,0,0,43,2,22,4,34,1,4,38,9,1,4,5,0,0,0,0,0,0,1,1,0,4,40,6,1,-3,0,0,0,1,0,1,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,44.0,0,0,44,3,3,0,0,1.0,0,0,0,0,0
2017,1,LV,REG,TEN,22,32,262,2,0,2,-12,0,0,197,138,16,9.3180150276907,3.57768945395947,0,29,109,0,1,0,5,0.144486438657706,0,22,32,262,2,1,0,197,138,16,12.3654540545698,0,0,39,0,16,3,4,0,1,1,4,0,0,5,0,2,0,0,0,0,0,0,0,5,49,4,2,5,1,41,4,4,0,0,52.0,1.0,0,1,0,1,2,0,0,0,0,0,0,0,20;52;52;43,,,167,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,MIN,REG,NO,27,32,346,3,0,1,-5,0,0,239,136,14,21.0961044685012,18.7144632451236,0,30,129,0,1,0,5,-6.46019595029065,0,27,32,346,3,0,0,239,136,14,22.3107440735242,0,0,38,0,28,2,13,0,1,7,3,0,0,2,0,0,0,0,1,1,0,0,0,5,50,2,2,11,4,108,3,3,0,0,45.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,24;32;45,,,101,0,0,2,3,1,0,0.666666666666667,0,0,0,0,0
2017,1,NE,REG,KC,16,36,267,0,0,3,-20,0,0,567,112,11,1.75390155712375,-9.08898334536288,0,35,124,3,0,0,11,-7.0571219611684,0,16,36,267,0,1,0,567,112,11,4.97400132281473,0,0,43,7,13,4,18,1,3,16,4,0,0,3,0,0,0,0,1,1,1,1,0,6,55,3,1,8,3,49,2,2,0,0,32.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,25;32,,,57,0,0,3,3,0,0,1.0,0,0,0,0,0
2017,1,NO,REG,MIN,27,37,291,1,0,1,-7,0,0,242,124,14,9.74175846369394,7.35301906998094,0,21,60,0,0,0,3,-3.26273775330259,0,27,37,291,1,0,0,242,124,14,11.3724801016731,0,0,50,0,20,5,17,1,1,5,2,0,0,2,0,0,0,0,0,0,0,0,0,6,52,6,1,0,3,57,4,4,0,0,43.0,1.0,0,3,0,1,0,0,0,0,0,0,0,0,43;21;24;20,,,108,0,0,1,1,0,0,1.0,0,0,0,0,0
2017,1,NYG,REG,DAL,29,38,220,0,1,3,-22,0,0,199,112,10,-6.14403732968291,2.78276079579404,0,12,35,0,0,0,2,-1.27455420355545,0,29,38,220,0,1,0,199,112,10,-0.558768594786816,0,0,39,2,30,4,16,0,1,5,3,0,0,3,0,0,0,0,1,1,0,0,0,6,55,3,1,1,2,42,1,1,0,0,25.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,25,,,25,0,0,0,0,0,0,,0,0,0,0,0
