season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2020,1,ARI,REG,SF,26,40,230,1,1,2,-6,0,0,192,133,12,-3.16413580955531,-2.22940871844421,0,36,180,2,1,0,14,9.08103456601384,0,26,37,230,1,1,0,192,133,12,1.00409781837705,0,0,39,2,20,4,22,0,3,16,6,0,0,4,0,0,0,5,2,2,0,0,0,9,102,5,2,8,1,42,1,3,2,0,56,0.333333333333333,0,0,0,0,1,0,0,0,0,1,1,0,56,52;49,,56,101,0,3,3,0,0,1,0,0,0,0,0
2020,1,ATL,REG,SEA,37,54,450,2,1,2,-16,0,0,524,106,23,6.09383628144966,4.67627392365382,0,21,72,1,1,1,4,-7.00506400888219,0,37,52,450,2,0,0,524,106,23,16.7300366446736,0,0,37,1,27,4,22,0,3,23,10,0,0,1,0,0,0,0,0,0,0,0,0,6,72,6,1,8,0,0,2,2,0,0,49,1,0,0,0,2,0,0,0,0,0,0,0,0,49;49,,,98,0,0,1,2,1,0,0.5,0,0,0,0,0
2020,1,BAL,REG,CLE,21,26,284,3,0,2,-14,0,0,257,77,16,13.7606244222439,21.3830480575562,0,30,111,2,2,1,7,-2.12635433848482,0,21,25,284,3,0,0,257,77,16,18.7972734699724,0,0,35,3,25,3,23,3,2,21,6,1,8,8,0,0,0,0,1,1,2,2,0,7,66,3,2,26,2,64,1,1,0,0,41,1,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,5,5,0,0,1,0,0,0,0,0
2020,1,BUF,REG,NYJ,33,46,312,2,0,3,-6,0,0,279,137,17,13.8010085099114,6.88211427794562,0,32,98,1,2,2,8,-13.1249303315888,0,33,45,312,2,0,0,279,137,17,17.9748400440162,0,0,30,4,14,5,19,1,3,13,4,1,0,3,0,0,0,0,0,0,1,1,0,7,79,4,5,68,1,31,2,4,2,0,22,0.5,1,1,0,0,0,0,0,0,2,0,0,0,22;19,38;34,,41,72,0,3,3,0,0,1,0,0,0,0,0
2020,1,CAR,REG,LV,22,34,269,1,0,1,-10,0,0,279,137,13,6.3769420746635,0.54569472284878,1,30,129,2,0,0,8,1.63804445901148,0,22,34,269,1,0,0,279,137,13,8.32567343655184,1,0,37,0,28,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,65,6,2,29,4,109,3,3,0,0,47,1,0,0,1,2,0,0,0,0,0,0,0,0,47;46;31,,,124,0,0,1,2,1,0,0.5,0,0,0,0,0
2020,1,CHI,REG,DET,20,36,242,3,0,1,-28,1,0,349,81,15,2.50965593693485,-6.69561848044395,0,28,149,0,0,0,7,4.72853180879611,0,20,36,242,3,0,0,349,81,15,4.31261918492323,0,0,44,2,20,3,12,0,1,9,6,1,5,6,0,0,0,0,1,1,0,0,0,6,48,4,1,0,3,110,2,2,0,0,35,1,0,1,1,0,0,0,0,0,0,0,0,0,35;28,,,63,0,0,3,3,0,0,1,0,0,0,0,0
2020,1,CIN,REG,LAC,23,36,193,0,1,3,-20,0,0,291,83,14,-6.34561266132098,-0.267357996531895,0,28,122,1,2,1,6,-8.47962174518034,0,23,35,193,0,0,0,291,83,14,-1.48640256944512,0,0,39,3,35,3,3,0,2,1,4,0,0,5,0,0,0,0,0,1,0,0,0,7,44,5,2,29,1,44,2,3,1,0,50,0.666666666666667,0,0,0,1,1,0,0,0,1,0,0,0,50;43,31,,93,31,0,1,1,0,0,1,0,0,0,0,0
2020,1,CLE,REG,BAL,21,39,189,1,1,2,-21,0,0,358,34,10,-10.6468428068027,-4.23168859311513,0,27,138,0,3,2,6,-5.78249879070791,0,21,35,189,1,0,0,358,34,10,-2.78698434095605,0,0,44,1,15,6,21,1,2,14,4,0,0,0,0,0,0,0,1,1,1,1,0,8,80,1,1,1,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,41,,0,41,0,0,1,1,0,0,0,0,0,0,0
2020,1,DAL,REG,LA,25,39,266,1,0,3,-22,0,0,283,114,14,-5.03047575262098,-4.59537256408382,0,27,136,1,0,0,9,3.66173544328194,0,25,37,266,1,0,0,283,114,14,1.75455664987022,0,0,42,7,27,1,6,0,1,6,3,1,0,4,0,0,0,0,0,0,0,0,0,7,50,4,1,20,2,48,1,2,1,0,33,0.5,0,0,1,0,0,0,0,0,0,0,1,0,33,53,,33,53,0,2,2,0,0,1,0,0,0,0,0
2020,1,DEN,REG,TEN,22,33,216,1,0,0,0,0,0,303,133,12,-2.1552592641965,3.15756360068917,0,26,107,1,2,0,7,1.86469378057518,0,22,32,216,1,2,1,303,133,12,-6.69922476602369,0,0,55,0,20,2,3,0,1,2,7,0,0,5,0,0,0,0,2,3,0,0,0,5,56,3,2,16,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,0
