season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2023,MIA,REG,17,393,566,4698,30,15,31,-184,1,1,4306,2228,224,111.642263379251,4.54647164852892,0,456,2308,27,13,7,128,-11.8167357281357,0,393,549,4698,30,4,2,4306,2227,224,163.86165608382,0,0,589,123,375,70,350,15,56,371,139,15,270,81,4,1,0,0,13,22,12,12,0,97,767,54,27,265,18,441,24,28,2,2,57,0.857142857142857,0,6,7,6,5,0,0,0,0,0,2,0,23;41;45;23;40;40;30;41;51;38;54;49;20;31;37;27;35;57;52;54;35;29;27;38,55;50,49;44,917,105,93,58,59,1,0,0.983050847457627,1,1,0,0,29
2023,MIN,REG,17,424,631,4700,30,19,47,-341,10,7,4930,1926,221,2.68150328053393,3.0001425433277,1,393,1553,7,7,4,85,-28.4934263131111,0,424,606,4700,30,4,3,4930,1926,221,105.017799187699,1,0,636,125,441,57,278,22,43,302,91,11,112,67,0,2,0,0,10,15,11,11,2,89,670,76,37,289,19,477,24,30,5,1,54,0.8,1,7,9,3,4,0,0,0,0,2,3,0,25;23;40;29;53;51;21;20;54;25;19;32;31;40;33;34;30;34;36;39;26;54;39;43,57;50;42;54;49,44,831,252,44,36,38,1,1,0.947368421052632,0,0,0,0,
2023,NE,REG,17,351,557,3392,16,21,48,-323,4,2,4096,1848,153,-137.782426271062,-3.46588885718044,0,415,1627,9,3,2,97,-37.5642528441704,0,351,541,3392,16,5,4,4096,1848,153,-62.7234997776243,0,1,625,117,421,64,309,15,36,248,78,10,96,66,0,10,1,4,7,8,8,8,1,89,676,60,33,208,18,471,16,25,9,0,56,0.64,0,4,5,5,2,0,0,0,2,5,2,0,49;48;51;29;43;30;24;49;38;43;37;24;25;33;56;30,48;57;52;48;35;35;41;47;47,,609,410,0,24,25,1,0,0.96,1,1,0,0,56
2023,NO,REG,17,406,606,4225,28,11,35,-235,5,2,5016,1799,199,19.694444623421,1.87430762925502,2,480,1742,13,6,3,118,-52.2110362381051,2,406,579,4225,28,0,0,5016,1799,199,105.860907523266,2,1,557,96,420,62,275,8,34,244,77,18,185,99,1,1,0,0,6,6,11,11,1,96,846,62,32,392,22,466,30,37,7,0,55,0.810810810810811,0,10,6,8,6,0,0,2,0,2,3,0,26;33;52;28;23;25;37;32;44;54;53;48;45;23;35;42;27;55;48;25;52;41;45;39;50;45;28;38;24;24,46;52;29;51;47;54;29,,1141,308,0,40,40,0,0,1,0,1,1,0,46
2023,NYG,REG,17,338,518,3351,15,12,85,-465,5,1,3786,1601,141,-112.029008194814,0.565530009490923,0,454,1874,10,8,3,104,-66.1397483280896,1,338,485,3351,15,3,1,3786,1601,141,33.1876447508389,0,1,649,85,377,64,299,19,34,259,83,18,404,81,3,8,0,0,16,21,13,13,0,89,711,76,35,311,13,249,22,31,8,1,57,0.709677419354839,0,4,7,6,5,0,0,0,2,4,2,0,34;44;57;55;49;37;51;29;43;29;31;40;36;42;37;56;40;52;31;32;24;21,36;55;42;47;35;48;54;45,45,870,362,45,24,25,1,0,0.96,2,3,1,0,34;37;54
2023,NYJ,REG,17,356,601,3373,11,15,64,-454,12,6,4000,1782,156,-186.570977394868,-4.96625095658785,1,388,1647,7,11,6,87,-70.0038758613779,2,356,563,3373,11,2,2,4000,1782,156,-36.7698822852078,1,1,615,120,410,78,343,14,46,304,107,17,212,91,2,4,3,0,12,18,10,10,1,124,945,74,33,319,24,542,36,39,2,1,55,0.923076923076923,0,8,10,13,5,0,0,0,0,1,1,0,26;43;30;34;52;31;30;26;27;22;49;43;42;35;38;35;33;47;46;47;53;30;45;27;46;51;55;44;25;27;54;46;44;21;40;33,52;49,31,1377,101,31,16,17,1,0,0.941176470588235,2,2,0,0,33;54
2023,PHI,REG,17,369,563,4067,24,16,39,-233,4,2,4844,1786,197,62.7184585260418,3.74087121940794,0,510,2190,22,9,5,152,10.3035549382158,1,369,525,4067,24,4,4,4844,1786,197,123.587658589417,0,0,651,71,367,67,274,16,43,255,106,9,207,74,2,2,1,0,9,10,8,8,1,95,785,64,29,417,13,254,30,32,2,0,61,0.9375,0,9,7,7,6,1,0,0,1,0,1,0,32;56;48;51;24;61;36;38;26;41;47;36;54;34;26;26;24;51;59;26;39;52;44;27;28;21;44;43;43;36,55;37,,1173,92,0,45,46,1,0,0.978260869565217,1,1,0,0,54
2023,PIT,REG,17,323,506,3421,13,9,36,-258,2,1,3785,1746,154,-45.7123586433911,-0.245615679863106,1,487,2010,16,9,3,119,-36.8804431190764,0,323,484,3421,13,6,2,3785,1745,154,31.1307151140825,1,0,613,117,355,72,328,19,47,304,107,16,184,80,1,3,1,0,10,13,11,11,1,86,753,65,30,257,24,565,29,31,2,0,57,0.935483870967742,0,9,7,7,6,0,0,0,0,1,0,1,52;50;43;42;57;35;23;43;25;42;53;22;29;30;42;49;35;28;41;34;33;29;56;50;30;39;26;21;25,61;45,,1084,106,0,27,28,1,0,0.964285714285714,0,0,0,0,
2023,SEA,REG,17,371,575,4167,23,12,38,-257,4,2,4121,2019,189,32.427961976086,1.41210104636781,2,382,1580,11,2,1,99,-21.4680270041887,0,371,547,4167,23,0,0,4121,2019,189,121.846944897848,2,0,658,120,468,82,370,13,47,298,97,11,177,77,3,2,0,10,3,5,8,8,0,111,954,66,25,265,26,680,35,42,7,0,55,0.833333333333333,0,8,11,12,4,0,0,0,1,2,4,0,36;42;25;43;35;33;37;39;34;55;23;21;48;32;33;45;43;33;45;43;54;43;52;51;30;40;26;43;28;27;43;42;24;33;29,39;45;56;53;55;53;42,,1310,343,0,33,33,0,0,1,1,2,1,0,43;55
2023,SF,REG,17,336,491,4577,33,12,34,-193,6,3,4018,2189,208,143.048214060758,4.74688540471841,0,499,2389,27,5,2,155,19.010535920275,0,336,471,4577,33,3,1,4018,2189,208,210.764550951178,0,0,606,104,366,69,349,10,48,307,122,22,309,84,1,3,1,0,8,10,6,6,0,101,933,56,34,273,20,437,21,25,4,0,57,0.84,0,7,8,4,2,0,0,0,1,2,1,0,41;32;40;27;57;26;28;21;36;25;55;36;39;35;37;28;32;43;45;38;22,54;41;40;38,,743,173,0,60,61,1,0,0.983606557377049,0,1,1,0,41
2023,TB,REG,17,364,568,4044,28,10,40,-232,5,3,4865,1927,188,47.2337025499575,0.0528411756862233,2,439,1509,8,4,1,85,-77.0876220310538,0,364,550,4044,28,6,3,4865,1927,188,115.455616245086,2,0,627,113,409,72,352,18,47,325,84,13,93,64,1,3,1,0,12,13,12,12,0,100,751,42,25,234,16,327,29,31,0,2,57,0.935483870967742,0,8,12,2,7,0,0,0,0,0,0,0,36;57;26;25;33;51;28;33;36;24;36;57;35;49;55;25;35;21;24;55;38;39;46;24;31;51;36;57;39,,40;50,1102,0,90,33,33,0,0,1,0,0,0,0,
2023,TEN,REG,17,304,494,3512,14,11,64,-445,7,2,4569,1596,158,-31.6637397822413,0.444319230118556,1,444,1846,16,6,4,109,-26.8543517715778,0,304,478,3512,14,2,0,4569,1596,158,73.3097007042631,1,0,634,145,441,72,355,13,45,315,84,6,86,55,1,3,0,11,7,12,8,8,0,110,882,62,42,330,18,372,29,30,1,0,53,0.966666666666667,0,9,9,6,5,0,0,0,0,0,1,0,50;27;31;45;29;33;41;44;53;35;27;53;34;26;27;38;36;36;48;38;27;53;24;46;28;23;45;33;53,51,,1083,51,0,28,30,2,0,0.933333333333333,1,1,0,0,41
2023,WAS,REG,17,407,636,4174,24,21,65,-449,3,1,4767,2092,190,-87.4853368009296,0.272567240450074,1,359,1592,14,6,5,102,-8.5958496435825,2,407,601,4174,24,5,3,4767,2092,190,24.7574551481165,1,0,629,111,427,75,267,10,38,164,84,8,85,78,0,5,0,51,7,8,10,10,1,87,701,62,35,278,24,601,19,24,4,1,61,0.791666666666667,0,2,7,7,2,1,0,0,0,2,2,0,30;33;44;49;51;27;51;32;37;61;37;30;49;47;23;42;43;47;36,49;59;46;53,27,769,207,27,32,35,2,1,0.914285714285714,0,0,0,0,
